Region,Site,Patch_id,Species,Patch_coord_lat,Patch_coord_lon,iso_18O_all,iso_13C_all,prod,bowen_18O_annual,bowen_18O_AprSep,bowen_18O_JanApr,bowen_18O_annual.w,bowen_18O_AprSep.w,bowen_18O_JanApr.w,HWT_end_season,elevation,avt,evap,precip,samp_year
"Canada, ON (NW)",Savanne,2,S.fuscum,48.954,-90.23306,20.69384601,-28.72329354,115.264314553333,-13.93689875,-9.149187962,-18.23252821,-11.69875567,-8.955994504,-17.27147589,42,458,13.0906819668333,518.67873193,530.55313072,2013
"Canada, ON (NW)",Savanne,4,S.magellanicum,48.954,-90.23306,18.65766748,-28.7385981,119.767807033333,-13.93689875,-9.149187962,-18.23252821,-11.69875567,-8.955994504,-17.27147589,42,458,13.0906819668333,518.67873193,530.55313072,2013
"Canada, ON (NW)",Savanne,5,S.fuscum,48.954,-90.23306,19.95862133,-28.98827249,149.808917166667,-13.93689875,-9.149187962,-18.23252821,-11.69875567,-8.955994504,-17.27147589,40,458,13.0906819668333,518.67873193,530.55313072,2013
"Canada, ON (NW)",Savanne,6,S.magellanicum,48.954,-90.23306,19.12860395,-28.58953702,116.062278866667,-13.93689875,-9.149187962,-18.23252821,-11.69875567,-8.955994504,-17.27147589,34,458,13.0906819668333,518.67873193,530.55313072,2013
"Canada, ON (NW)",Raith,1,S.fuscum,48.85354,-89.95639,18.36860285,-29.9211305,362.714720633333,-13.75252835,-9.01127704,-18.01628089,-11.53640273,-8.820637269,-17.06397796,31,472,13.0906819668333,518.67873193,530.55313072,2013
"Canada, ON (NW)",Raith,3,S.fuscum,48.85354,-89.95639,21.07575191,-27.95625127,235.951012833333,-13.75252835,-9.01127704,-18.01628089,-11.53640273,-8.820637269,-17.06397796,26,472,13.0906819668333,518.67873193,530.55313072,2013
"Canada, ON (NW)",Raith,5,S.magellanicum,48.85354,-89.95639,18.34405963,-30.09458219,301.9834395,-13.75252835,-9.01127704,-18.01628089,-11.53640273,-8.820637269,-17.06397796,15,472,13.0906819668333,518.67873193,530.55313072,2013
"Canada, ON (NW)",Raith,7,S.magellanicum,48.85354,-89.95639,18.31281524,-29.56954926,156.514901333333,-13.75252835,-9.01127704,-18.01628089,-11.53640273,-8.820637269,-17.06397796,28,472,13.0906819668333,518.67873193,530.55313072,2013
"Canada, ON (S)",Puslinch_bog,1,S.fuscum,43.407924,-80.263684,20.8901918,-30.34353637,110.33046915,-9.774423798,-6.764203628,-12.58818746,-9.128199741,-6.779438361,-12.04299522,35,308,17.60389099,537.44189819,558.59887952,2013
"Canada, ON (S)",Puslinch_bog,3,S.fuscum,43.408201,-80.264392,20.56259484,-29.056598,254.7119839,-9.774423798,-6.764203628,-12.58818746,-9.128199741,-6.779438361,-12.04299522,35,306,17.60389099,537.44189819,558.59887952,2013
"Canada, ON (S)",Puslinch_bog,1,S.magellanicum,43.407924,-80.263684,21.17289337,-30.50576472,199.753691966667,-9.774423798,-6.764203628,-12.58818746,-9.128199741,-6.779438361,-12.04299522,29,308,17.60389099,537.44189819,558.59887952,2013
"Canada, ON (S)",Puslinch_bog,3,S.magellanicum,43.408178,-80.264343,20.61665402,-29.35335509,258.545222933333,-9.774423798,-6.764203628,-12.58818746,-9.128199741,-6.779438361,-12.04299522,28,306,17.60389099,537.44189819,558.59887952,2013
"Canada, ON (S)",Parry_Sound,1,S.fuscum,45.459827,-80.150893,21.22470684,-29.82522192,120.862666236667,-10.57775684,-7.37670811,-13.56193209,-9.943351611,-7.536905715,-12.81259587,20,222,16.3326914483333,332.66004773,319.71164605,2013
"Canada, ON (S)",Parry_Sound,3,S.fuscum,45.459793,-80.150986,19.94707891,-30.55364063,165.0395516,-10.57775684,-7.37670811,-13.56193209,-9.943351611,-7.536905715,-12.81259587,21,223,16.3326914483333,332.66004773,319.71164605,2013
