"region","site","latitude_wgs84","longitude_wgs84","elevation_masl","sample_year","species"
"Bulgaria, Central Rhodopes Mts","Chairski lakes",41.59065,24.446419,1377,"2013","S.magellanicum"
"Bulgaria, Vitosha Mts","Kapaklivets",42.59398,23.280245,1829,"2013","S.fuscum+S.magellanicum"
"Bulgaria, Western Rodopi Mts","Shiroka Polyana",41.75638,24.144839,1544,"2013","S.fuscum+S.magellanicum"
"Bulgaria, Western Stara planina Mts","Petrohan pass",43.11778,23.1225,1376,"2013","S.magellanicum"
"Canada, AB","208UB",56.1157,-115.7024,660,"2013","S.fuscum"
"Canada, AB","BC35",55.87,-115.1,653,"2013","S.fuscum+S.magellanicum"
"Canada, AB","Wandering River_Control",55.35394,-112.517692,566,"2014","S.magellanicum"
"Canada, NT (S)","Scotty Creek",61.30883,-121.305166,282,"2013","S.fuscum+S.magellanicum"
"Canada, ON (E) ","Mer Bleue",45.40944,-75.518708,68,"2013","S.magellanicum"
"Canada, ON (N)","MOE BOG",52.69376,-83.945183,125.5,"2014","S.fuscum"
"Canada, ON (N)","MOE MOSS",52.69697,-83.950642,88,"2014","S.fuscum+S.magellanicum"
"Canada, ON (NW)","Raith",48.85354,-89.95639,472,"2013","S.fuscum+S.magellanicum"
"Canada, ON (NW)","Savanne",48.954,-90.23306,458,"2013","S.fuscum+S.magellanicum"
"Canada, ON (S)","Parry_Sound",45.45978,-80.15097025,222.75,"2013","S.fuscum+S.magellanicum"
"Canada, ON (S)","Puslinch_bog",43.40806,-80.26402575,307,"2013","S.fuscum+S.magellanicum"
"Canada, QC","Chute Panet",46.86937,-71.8403475,153.5,"2013","S.fuscum+S.magellanicum"
"Canada, QC","Coteau road",47.7668,-64.5940825,4.5,"2013","S.fuscum+S.magellanicum"
"Canada, QC","Goulet",47.71879,-64.684885,2.5,"2013","S.fuscum+S.magellanicum"
"Canada, QC","Grande-Plee Bleue",46.77988,-71.0570275,92.5,"2013","S.fuscum+S.magellanicum"
"Canada, QC","Jifi (Haut-Shippagan)",47.73998,-64.7446675,2,"2013","S.fuscum+S.magellanicum"
"Canada, QC","Miscou #5",48.00951,-64.5060325,5,"2013","S.fuscum+S.magellanicum"
"Canada, QC","Saint-Charles",46.78825,-70.9727375,99,"2013","S.fuscum+S.magellanicum"
"Canada, QC","Saint-Etienne",46.65344,-71.31894,98,"2013","S.fuscum+S.magellanicum"
"Canada, QC","Sainte-Catherine",46.8725,-71.585795,169.5,"2013","S.fuscum+S.magellanicum"
"Canada, QC","Wilson",47.93986,-64.52368,4,"2013","S.fuscum+S.magellanicum"
"China","Hani",42.22584,126.5189861,851.25,"2014","S.fuscum+S.magellanicum"
"China","Mangui",52.28331,122.438715275,741.75,"2014","S.fuscum+S.magellanicum"
"Czech Republic","Jizerka",50.82724,15.3287083325,864.25,"2013","S.fuscum+S.magellanicum"
"Czech Republic","Mrtvý luh",48.87025,13.87161111,739.75,"2013","S.fuscum+S.magellanicum"
"Czech Republic","Velký Močálbog",50.39622,12.635104165,925.75,"2013","S.fuscum+S.magellanicum"
"Estonia (central)","Männikjärve bog",58.87583,26.24722222,81,"2013","S.fuscum+S.magellanicum"
"Estonia (central)","Parika bog",58.475,25.77041667,52,"2013","S.fuscum+S.magellanicum"
"Estonia (NE)","Seli bog",59.17056,27.27388889,58,"2013","S.fuscum+S.magellanicum"
"Estonia (SW)","Tolkuse bog",58.13889,24.51972222,10,"2013","S.fuscum+S.magellanicum"
"Finland (N)","Kaamanen",69.14079,27.2712,165,"2013","S.fuscum"
"Finland (N)","Salmisuo",62.78477,30.947475,116,"2013","S.fuscum+S.magellanicum"
"Finland (N)","Siikajoki",64.7315,24.719083,46.75,"2013","S.fuscum+S.magellanicum"
"Finland (N)","Siikaneva",61.83722,24.169767,131.5,"2013","S.fuscum+S.magellanicum"
"Finland (S)","Tervalamminsuo",60.3874,23.5844175,78,"2013","S.fuscum+S.magellanicum"
"Italy (N)","Lupicino",46.42944,11.41222222,1288,"2013","S.fuscum+S.magellanicum"
