year,co2conc,ch4conc,n2oconc,totforc
2011,391.1665,1772.7889,323.82554,2.0491389
2012,393.24066,1776.5604,324.58119,2.088639
2013,395.29786,1779.589,325.32519,2.1273441
2014,397.34576,1781.9675,326.05742,2.1650662
2015,399.38717,1783.7889,326.77777,2.202128
2016,401.41789,1785.1042,327.48616,2.2385299
2017,403.43127,1785.9337,328.18265,2.2742228
2018,405.42513,1786.3038,328.86735,2.3092135
2019,407.40083,1786.2466,329.54034,2.3439781
2020,409.36026,1785.7913,330.20175,2.379032
2021,411.29764,1784.8938,330.85166,2.4145842
2022,413.21903,1784.0299,331.50208,2.4506217
2023,415.14445,1783.7309,332.165,2.4869815
2024,417.08292,1783.9868,332.8405,2.5237119
2025,419.03635,1784.7856,333.52868,2.5608484
2026,421.0038,1786.1234,334.22958,2.5983775
2027,422.97812,1787.962,334.94313,2.6361944
2028,424.95028,1790.2392,335.66923,2.6741573
2029,426.91631,1792.9056,336.40777,2.712196
2030,428.87629,1795.9236,337.15862,2.7472941
2031,430.832,1799.2652,337.92168,2.7764276
2032,432.80746,1802.8629,338.69708,2.8031525
2033,434.83148,1806.6744,339.48491,2.8307015
2034,436.91619,1810.7279,340.28509,2.8587885
2035,439.06785,1815.0411,341.09749,2.8874624
2036,441.28581,1819.6281,341.92201,2.9166896
2037,443.5672,1824.5089,342.75853,2.9464128
2038,445.90288,1829.6668,343.60696,2.9764895
2039,448.28176,1835.0584,344.46717,3.0067455
2040,450.69811,1840.6512,345.33907,3.0389354
2041,453.15021,1846.4199,346.22254,3.074861
2042,455.64509,1852.2293,347.11642,3.1121745
2043,458.18181,1857.8862,348.01955,3.1489549
2044,460.76247,1863.3519,348.93183,3.1857748
2045,463.4053,1868.6891,349.85315,3.2229314
2046,466.11968,1873.9458,350.78342,3.2605966
2047,468.90757,1879.1637,351.72255,3.2988382
2048,471.76784,1884.3884,352.67046,3.3376792
2049,474.69236,1889.6253,353.62706,3.3770291
2050,477.67043,1894.8503,354.59228,3.415505
2051,480.69694,1900.0515,355.56603,3.4518163
2052,483.77696,1905.1561,356.5484,3.4872698
2053,486.9156,1910.0946,357.53947,3.523172
2054,490.1025,1914.7978,358.53915,3.5593808
2055,493.33845,1919.2299,359.54737,3.5958767
2056,496.64173,1923.4614,360.56406,3.6328898
2057,500.02229,1927.5478,361.58913,3.6705462
2058,503.48287,1931.5374,362.62251,3.7088872
2059,507.02296,1935.4819,363.66412,3.7479196
2060,510.63443,1939.3909,364.71388,3.7907974
2061,514.30531,1943.2357,365.77172,3.8406347
2062,518.02671,1946.8312,366.83596,3.8934391
2063,521.79702,1950.0245,367.90494,3.9458576
2064,525.61935,1952.8408,368.97857,3.9984897
2065,529.48604,1955.2248,370.0568,4.051215
