"V1"	"V2"	"V3"	"V4"	"V5"	"V6"
1	1	1	1	1	4
3	1	1	1	1	4
5	1	1	1	1	4
7	1	1	1	0	3
9	1	1	1	0	3
11	1	1	1	0	3
13	1	1	0	0	2
15	1	1	0	0	2
17	1	1	0	0	2
19	1	1	0	0	2
21	1	1	1	1	4
23	1	1	1	1	4
25	1	1	1	1	4
27	1	1	1	1	4
29	1	1	1	1	4
31	1	1	1	1	4
33	1	1	1	1	4
35	1	1	1	1	4
37	1	1	1	1	4
39	1	1	1	1	4
41	1	1	1	1	4
43	1	1	1	1	4
45	1	1	1	1	4
47	1	1	1	1	4
49	1	1	1	1	4
51	1	1	1	0	3
53	1	1	1	0	3
55	1	1	0	0	2
57	1	1	0	0	2
59	1	1	0	0	2
61	1	1	0	0	2
63	1	1	0	0	2
65	1	1	1	1	4
69	1	1	1	1	4
71	1	1	1	1	4
73	1	1	1	1	4
79	1	1	1	1	4
81	1	1	1	1	4
83	1	1	1	1	4
87	1	1	1	1	4
91	0	1	1	1	3
93	0	1	1	1	3
96	0	1	1	1	3
99	0	1	1	1	3
101	0	1	1	1	3
103	0	1	1	1	3
105	0	1	1	1	3
107	0	1	1	1	3
109	0	1	1	1	3
113	0	1	1	1	3
115	0	1	1	1	3
117	0	1	1	1	3
119	0	1	1	1	3
