depth	min95%	max95%	best	acc.rate
0	-1641	-972	-1341	44.36
5	-1404	-773	-1119	44.36
10	-1166	-574	-898	44.36
25	-465	32	-232	44.36
40	245	646	433	44.36
45	479	848	655	44.36
50	713	1052	876	44.36
65	1413	1683	1542	44.36
75	1850	2090	1963	44.36
85	2301	2525	2407	44.36
95	2746	2966	2850	44.36
105	3174	3413	3294	44.36
130	4191	4541	4403	44.36
150	4992	5461	5290	44.36
155	5161	5628	5458	22.79
160	5291	5733	5572	22.79
170	5561	5948	5799	22.79
180	5828	6173	6027	22.79
190	6071	6405	6255	22.79
200	6293	6646	6483	22.79
210	6512	6886	6711	22.79
220	6725	7125	6939	22.79
235	7020	7467	7262	15.42
245	7210	7596	7416	15.42
255	7389	7730	7570	15.42
270	7629	7979	7802	15.42
280	7771	8163	7956	15.42
285	7838	8255	8033	15.42
290	7961	8379	8156	33.93
295	8132	8537	8326	33.93
305	8477	8869	8665	33.93
310	8643	9037	8835	33.93
325	9132	9561	9344	33.93
340	9606	10126	9853	33.93
360	10236	10914	10531	33.93
375	10695	11493	11040	33.93
380	10831	11669	11193	33.93
385	10980	11857	11362	33.93
395	11276	12251	11702	33.93
408	11659	12758	12143	33.93
415	11869	13035	12380	NA
