depth	min95%	max95%	best	acc.rate
0	-1643	-738	-1294	44.6
5	-1403	-544	-1071	44.6
10	-1164	-343	-848	44.6
25	-440	267	-179	44.6
40	277	878	490	44.6
45	516	1081	713	44.6
50	758	1285	936	44.6
65	1466	1902	1606	44.6
75	1908	2323	2052	44.59
85	2326	2737	2496	44.3
95	2715	3161	2937	43.65
105	3113	3567	3369	42.64
130	4052	4561	4390	38.52
150	4752	5284	5116	33.59
155	4913	5449	5281	32.16
160	5073	5607	5440	30.79
170	5383	5900	5736	28.28
180	5680	6169	6008	26.07
190	5942	6422	6260	24.16
200	6202	6654	6494	22.55
210	6440	6878	6714	21.25
220	6680	7098	6922	20.24
235	7017	7423	7218	19.31
245	7219	7635	7410	19.18
255	7417	7853	7603	19.51
270	7711	8184	7904	20.85
280	7926	8414	8118	22.31
285	8038	8537	8232	23.21
290	8159	8666	8350	24.19
295	8281	8795	8472	25.13
305	8521	9061	8732	26.84
310	8651	9199	8867	27.62
325	9037	9610	9296	29.6
340	9454	10049	9751	31.08
360	10008	10649	10386	32.28
375	10431	11117	10873	32.59
380	10574	11278	11036	32.6
385	10717	11451	11199	32.6
395	11003	11814	11525	32.6
408	11356	12288	11948	32.6
415	11553	12548	12177	NA
