###############################################
#
#  [Supplement Information of Ryo et al. 2016, HESS]
#  An example hourly time-series temperature data for 2 years
#  Data is analyzed with the R script "Fourier_1.R"
#
#                               2016.07  Ryo et al. 
#
###############################################
Time	Temperature
2012.01.01 01:00	0.26
2012.01.01 02:00	0.26
2012.01.01 03:00	0.26
2012.01.01 04:00	0.262
2012.01.01 05:00	0.269
2012.01.01 06:00	0.276
2012.01.01 07:00	0.284
2012.01.01 08:00	0.291
2012.01.01 09:00	0.299
2012.01.01 10:00	0.331
2012.01.01 11:00	0.372
2012.01.01 12:00	0.413
2012.01.01 13:00	0.461
2012.01.01 14:00	0.548
2012.01.01 15:00	0.68
2012.01.01 16:00	0.755
2012.01.01 17:00	0.786
2012.01.01 18:00	0.748
2012.01.01 19:00	0.706
2012.01.01 20:00	0.664
2012.01.01 21:00	0.622
2012.01.01 22:00	0.58
2012.01.01 23:00	0.538
2012.01.02 00:00	0.504
2012.01.02 01:00	0.498
2012.01.02 02:00	0.49
2012.01.02 03:00	0.482
2012.01.02 04:00	0.474
2012.01.02 05:00	0.466
2012.01.02 06:00	0.459
2012.01.02 07:00	0.454
2012.01.02 08:00	0.449
2012.01.02 09:00	0.444
2012.01.02 10:00	0.452
2012.01.02 11:00	0.518
2012.01.02 12:00	0.617
2012.01.02 13:00	0.723
2012.01.02 14:00	0.818
2012.01.02 15:00	0.864
2012.01.02 16:00	0.906
2012.01.02 17:00	0.939
2012.01.02 18:00	0.908
2012.01.02 19:00	0.773
2012.01.02 20:00	0.56
2012.01.02 21:00	0.401
2012.01.02 22:00	0.424
2012.01.02 23:00	0.46
2012.01.03 00:00	0.46
2012.01.03 01:00	0.463
2012.01.03 02:00	0.467
2012.01.03 03:00	0.445
2012.01.03 04:00	0.413
2012.01.03 05:00	0.38
2012.01.03 06:00	0.341
2012.01.03 07:00	0.279
2012.01.03 08:00	0.23
2012.01.03 09:00	0.182
2012.01.03 10:00	0.134
2012.01.03 11:00	0.095
2012.01.03 12:00	0.098
2012.01.03 13:00	0.105
2012.01.03 14:00	0.146
2012.01.03 15:00	0.234
2012.01.03 16:00	0.232
2012.01.03 17:00	0.126
2012.01.03 18:00	0.091
2012.01.03 19:00	0.093
2012.01.03 20:00	0.094
2012.01.03 21:00	0.095
2012.01.03 22:00	0.097
2012.01.03 23:00	0.098
2012.01.04 00:00	0.099
2012.01.04 01:00	0.1
2012.01.04 02:00	0.102
2012.01.04 03:00	0.103
2012.01.04 04:00	0.104
2012.01.04 05:00	0.105
2012.01.04 06:00	0.106
2012.01.04 07:00	0.107
2012.01.04 08:00	0.108
2012.01.04 09:00	0.109
2012.01.04 10:00	0.14
2012.01.04 11:00	0.233
2012.01.04 12:00	0.313
2012.01.04 13:00	0.395
2012.01.04 14:00	0.475
2012.01.04 15:00	0.469
2012.01.04 16:00	0.434
2012.01.04 17:00	0.433
2012.01.04 18:00	0.42
2012.01.04 19:00	0.353
2012.01.04 20:00	0.283
2012.01.04 21:00	0.213
2012.01.04 22:00	0.143
2012.01.04 23:00	0.094
2012.01.05 00:00	0.097
2012.01.05 01:00	0.1
2012.01.05 02:00	0.101
2012.01.05 03:00	0.102
2012.01.05 04:00	0.103
2012.01.05 05:00	0.104
2012.01.05 06:00	0.105
2012.01.05 07:00	0.106
2012.01.05 08:00	0.107
2012.01.05 09:00	0.108
2012.01.05 10:00	0.109
2012.01.05 11:00	0.11
2012.01.05 12:00	0.171
2012.01.05 13:00	0.276
2012.01.05 14:00	0.381
2012.01.05 15:00	0.486
2012.01.05 16:00	0.492
2012.01.05 17:00	0.428
2012.01.05 18:00	0.393
2012.01.05 19:00	0.364
2012.01.05 20:00	0.256
2012.01.05 21:00	0.145
2012.01.05 22:00	0.086
2012.01.05 23:00	0.095
2012.01.06 00:00	0.104
2012.01.06 01:00	0.083
2012.01.06 02:00	0.07
2012.01.06 03:00	0.071
2012.01.06 04:00	0.071
2012.01.06 05:00	0.072
2012.01.06 06:00	0.072
2012.01.06 07:00	0.073
2012.01.06 08:00	0.073
2012.01.06 09:00	0.073
2012.01.06 10:00	0.074
2012.01.06 11:00	0.074
2012.01.06 12:00	0.075
2012.01.06 13:00	0.075
2012.01.06 14:00	0.075
2012.01.06 15:00	0.076
2012.01.06 16:00	0.076
2012.01.06 17:00	0.077
2012.01.06 18:00	0.077
2012.01.06 19:00	0.078
2012.01.06 20:00	0.078
2012.01.06 21:00	0.078
2012.01.06 22:00	0.079
2012.01.06 23:00	0.079
2012.01.07 00:00	0.08
