year,co2conc,ch4conc,n2oconc,totforc
2011,391.56252,1779.5403,323.64575,2.1017918
2012,393.84273,1784.5519,324.32716,2.1524233
2013,396.11734,1786.3689,324.99264,2.2003028
2014,398.39568,1785.2863,325.6422,2.2460071
2015,400.68068,1781.5822,326.27584,2.2899818
2016,402.9683,1775.478,326.8936,2.3323332
2017,405.25182,1767.1513,327.49559,2.3731031
2018,407.52882,1756.7736,328.08194,2.4123813
2019,409.80029,1744.5114,328.6528,2.45071
2020,412.06783,1730.518,329.2083,2.4868591
2021,414.32565,1714.8713,329.74858,2.5192966
2022,416.51662,1698.7239,330.27812,2.5485262
2023,418.60322,1683.3058,330.80136,2.5757005
2024,420.60132,1668.8253,331.31844,2.6018157
2025,422.51575,1655.3673,331.8295,2.6270578
2026,424.34901,1642.8547,332.33463,2.6514638
2027,426.09675,1631.1869,332.83393,2.6749638
2028,427.75232,1620.2505,333.32743,2.6974511
2029,429.31381,1609.952,333.81519,2.7188898
2030,430.78315,1600.2154,334.29728,2.7380636
2031,432.16344,1590.9764,334.77372,2.7537634
2032,433.43618,1582.2005,335.24387,2.7677883
2033,434.59273,1573.8792,335.70704,2.7813117
2034,435.65302,1566.0052,336.16328,2.7938319
2035,436.62804,1558.5643,336.61265,2.8055047
2036,437.52158,1551.5411,337.05519,2.8163872
2037,438.33433,1544.9268,337.49097,2.8264928
2038,439.06015,1538.6838,337.92005,2.8357372
2039,439.69061,1532.7554,338.34248,2.8439951
2040,440.2224,1527.0976,338.75834,2.8501158
2041,440.65666,1521.6802,339.16766,2.852993
2042,441.02476,1516.0256,339.56219,2.8538468
2043,441.34651,1509.6501,339.93362,2.8537099
2044,441.621,1502.5989,340.28204,2.8525412
2045,441.8644,1494.9915,340.60749,2.8506048
2046,442.08482,1486.9261,340.91009,2.8480488
2047,442.2834,1478.4866,341.19,2.8449384
2048,442.4583,1469.7525,341.44743,2.8413383
2049,442.60091,1460.7653,341.68257,2.8371989
2050,442.70046,1451.5398,341.89562,2.831615
2051,442.75184,1442.0963,342.0868,2.8237243
2052,442.761,1432.7096,342.26047,2.8144837
2053,442.73417,1423.6218,342.42102,2.8049461
2054,442.66263,1414.7425,342.56863,2.7950227
2055,442.54767,1406.0124,342.7035,2.7846807
2056,442.40642,1397.4536,342.8258,2.7741374
2057,442.24833,1389.0775,342.93565,2.7635099
2058,442.07535,1380.8916,343.03318,2.752823
2059,441.88625,1372.9066,343.1185,2.7420657
2060,441.67274,1365.1056,343.19171,2.7318799
2061,441.42415,1357.4515,343.25294,2.7228837
2062,441.1345,1350.226,343.30802,2.7141003
2063,440.80284,1343.686,343.36278,2.7049603
2064,440.43041,1337.7504,343.41733,2.6958055
2065,440.01021,1332.2959,343.47178,2.6864643
2066,439.54473,1327.2328,343.52618,2.6769041
2067,439.05222,1322.552,343.58058,2.6673411
2068,438.54291,1318.2378,343.63498,2.65789
2069,438.01932,1314.2739,343.68937,2.6485704
2070,437.48062,1310.6506,343.74376,2.6398496
2071,436.91878,1307.3332,343.79815,2.6320833
2072,436.34251,1304.2787,343.85097,2.6248477
2073,435.76436,1301.4547,343.90066,2.6177608
2074,435.18189,1298.8309,343.94721,2.6107557
2075,434.595,1296.3806,343.99063,2.6038141
2076,433.99542,1294.0307,344.03093,2.5967822
2077,433.38456,1291.7352,344.06813,2.5896453
2078,432.77961,1289.5217,344.10225,2.5826367
2079,432.18978,1287.4071,344.13333,2.5758846
2080,431.61659,1285.4046,344.16138,2.5691325
2081,431.05847,1283.5306,344.18644,2.5620823
2082,430.51026,1281.7574,344.20828,2.5552484
2083,429.96413,1280.0405,344.22666,2.5487655
2084,429.41411,1278.3635,344.24161,2.5422117
2085,428.85906,1276.7183,344.25316,2.5355698
2086,428.2991,1275.0979,344.26133,2.5288386
2087,427.72652,1273.4472,344.26616,2.5218828
2088,427.14308,1271.7361,344.26767,2.5147041
2089,426.56607,1270.0047,344.26589,2.5075495
2090,426.00472,1268.2816,344.26085,2.5005805
2091,425.46065,1266.59,344.25259,2.4938653
2092,424.93745,1264.9737,344.24087,2.4873555
2093,424.43129,1263.4475,344.22544,2.4809841
2094,423.93083,1261.9864,344.20634,2.4746958
2095,423.43058,1260.5735,344.1836,2.4684124
2096,422.92945,1259.1995,344.15724,2.4621163
2097,422.42761,1257.8565,344.1273,2.4558066
2098,421.91753,1256.489,344.09381,2.4493492
2099,421.40111,1255.0667,344.0568,2.4427475
2100,420.89546,1253.6284,344.0163,2.4352507
2101,420.40998,1252.2028,343.97235,2.4260022
2102,419.94532,1250.8862,343.92683,2.4167336
2103,419.49831,1249.7665,343.88163,2.4084976
2104,419.05981,1248.825,343.83677,2.4005401
2105,418.61902,1248.0275,343.79229,2.3926975
2106,418.17082,1247.3487,343.7482,2.3848852
2107,417.71454,1246.7719,343.70451,2.3770814
2108,417.2507,1246.2824,343.66122,2.3692812
2109,416.77219,1245.8193,343.61832,2.3613478
2110,416.28127,1245.3472,343.57581,2.3532828
2111,415.79518,1244.8996,343.53369,2.3453317
2112,415.32319,1244.4992,343.49195,2.3376304
2113,414.86696,1244.1645,343.45059,2.3302139
2114,414.42496,1243.916,343.40961,2.3230781
2115,413.98893,1243.7483,343.369,2.3161126
2116,413.54867,1243.638,343.32877,2.3091685
2117,413.09942,1243.5696,343.28889,2.3021724
2118,412.64076,1243.5349,343.24938,2.2951123
2119,412.17338,1243.5271,343.21024,2.2879917
2120,411.69045,1243.492,343.17144,2.2806813
2121,411.19435,1243.4003,343.133,2.27319
2122,410.70228,1243.2907,343.09491,2.2657688
2123,410.22339,1243.1908,343.05717,2.2585571
2124,409.7593,1243.123,343.01977,2.2515928
2125,409.30847,1243.1116,342.98271,2.2448672
2126,408.8627,1243.1545,342.94599,2.2382585
2127,408.41656,1243.2313,342.9096,2.231674
2128,407.96956,1243.3293,342.87355,2.2250979
2129,407.52073,1243.4426,342.83782,2.2185131
2130,407.07051,1243.5661,342.80242,2.2119214
2131,406.61189,1243.6476,342.76734,2.2051924
2132,406.14707,1243.6595,342.73258,2.1983343
2133,405.69286,1243.6418,342.69813,2.1915972
2134,405.25809,1243.6232,342.664,2.1851188
2135,404.84413,1243.6271,342.63018,2.1789347
2136,404.44922,1243.6789,342.59667,2.1730409
2137,404.06507,1243.7773,342.56346,2.1673272
2138,403.68161,1243.9027,342.53056,2.1616463
2139,403.29415,1244.043,342.49795,2.1559273
2140,402.90226,1244.1931,342.46564,2.1501604
2141,402.50662,1244.3485,342.43363,2.1443511
2142,402.10056,1244.4576,342.4019,2.1383731
2143,401.68653,1244.4933,342.37047,2.1322387
2144,401.28131,1244.4961,342.33932,2.1262004
2145,400.89375,1244.4949,342.30846,2.1203973
2146,400.52523,1244.5137,342.27787,2.1148656
2147,400.17404,1244.5779,342.24757,2.1096016
2148,399.83204,1244.6866,342.21754,2.1044959
2149,399.4893,1244.8204,342.18778,2.0994022
2150,399.14131,1244.9675,342.1583,2.0942512
2151,398.78772,1245.123,342.12908,2.0890345
2152,398.42927,1245.2826,342.10013,2.0837588
2153,398.0595,1245.3949,342.07144,2.0782995
2154,397.68091,1245.4328,342.04301,2.0726706
2155,397.31021,1245.4369,342.01485,2.0671258
2156,396.95616,1245.4364,341.98693,2.0618038
2157,396.62009,1245.4552,341.95928,2.0567405
2158,396.3003,1245.5189,341.93187,2.051932
2159,395.98871,1245.6266,341.90472,2.0472688
2160,395.67554,1245.7589,341.87781,2.042605
