year,co2conc,ch4conc,n2oconc,totforc
2011,391.63801,1788.0274,323.80912,2.1197248
2012,394.00866,1798.6137,324.57523,2.1618512
2013,396.46384,1810.5166,325.36418,2.206301
2014,399.00402,1823.6553,326.17584,2.2521191
2015,401.62793,1837.9657,327.0101,2.2994553
2016,404.32819,1853.3544,327.86681,2.3481562
2017,407.09588,1869.7086,328.7458,2.3980369
2018,409.92701,1886.932,329.64686,2.4489828
2019,412.82151,1904.9443,330.5698,2.5013587
2020,415.78022,1923.671,331.51441,2.5556729
2021,418.79629,1942.9669,332.4805,2.6121215
2022,421.86439,1962.6522,333.466,2.6690245
2023,424.99469,1982.667,334.46888,2.7255707
2024,428.19734,2003.0226,335.48893,2.782765
2025,431.47473,2023.7269,336.52597,2.8406401
2026,434.82619,2044.7958,337.57981,2.8991784
2027,438.24456,2066.2057,338.65031,2.95827
2028,441.7208,2087.9036,339.73729,3.0177679
2029,445.25085,2109.849,340.84061,3.0775952
2030,448.83485,2132.0135,341.96012,3.1392743
2031,452.47359,2154.3675,343.09567,3.2043439
2032,456.177,2177.3915,344.24737,3.2706774
2033,459.96398,2201.5638,345.41535,3.3370738
2034,463.85181,2226.8476,346.59946,3.4045128
2035,467.85003,2253.1982,347.79956,3.4730305
2036,471.96047,2280.5735,349.01549,3.5425763
2037,476.18237,2308.9451,350.24713,3.6130783
2038,480.50799,2338.2441,351.49431,3.6843762
2039,484.92724,2368.3713,352.75691,3.7562761
2040,489.43545,2399.2445,354.03477,3.8283334
2041,494.03235,2430.7994,355.32775,3.90016
2042,498.7297,2463.0464,356.63072,3.9724072
2043,503.52959,2495.8939,357.93854,4.0453896
2044,508.43266,2529.2211,359.25107,4.1188763
2045,513.45614,2563.0514,360.56817,4.1930964
2046,518.61062,2597.397,361.88975,4.268187
2047,523.90006,2632.2674,363.21573,4.344198
2048,529.32418,2667.6834,364.54606,4.4211264
2049,534.8752,2703.6131,365.88072,4.4988701
2050,540.54279,2739.9847,367.21965,4.5761623
2051,546.32201,2776.7447,368.56281,4.6517913
