"","GWPmin","GWP10","GWP25","GWPmed","GWP75","GWP90","GWPmax"
"discount1.005",275,275,275,275,275,275,201.398835981261
"discount1.006",275,275,275,275,275,275,183.075460013039
"discount1.007",275,275,275,275,275,275,166.866983194033
"discount1.008",275,275,275,275,275,255.162585105578,152.64938693128
"discount1.009",275,275,275,275,275,227.205802038953,140.239406806658
"discount1.01",275,275,275,275,275,204.236720724142,129.428927598963
"discount1.011",275,275,275,275,254.719137972313,184.534267297626,120.008806081134
"discount1.012",275,275,275,275,232.540054362758,167.572984273443,111.783045339557
"discount1.013",275,275,275,275,216.293434818416,152.791984629366,104.575869135587
"discount1.014",275,275,275,275,203.997853307764,140.064965368875,98.2342659073468
"discount1.015",275,275,275,275,192.7625670081,129.9022986998,92.6274699518345
"discount1.016",275,275,275,267.457790135818,180.741706415237,120.652966401975,87.6452706473075
"discount1.017",275,275,275,254.262658416241,169.330906055006,112.394048985348,83.1952428731991
"discount1.018",275,275,275,240.749778639803,160.136640495878,105.401403614466,79.2003568321891
"discount1.019",275,275,275,226.106845103591,151.714169597526,99.4302423101658,75.5964028508848
"discount1.02",275,275,275,213.682040597044,142.79164086476,93.8516404602458,72.3297969347969
"discount1.021",275,275,275,200.573600976825,133.721332257343,88.8076206822221,69.3558678012963
"discount1.022",275,275,275,187.397263461579,125.189626391118,84.3034669556651,66.6369415132434
"discount1.023",275,275,275,175.145875714767,117.57766094816,80.2553102969297,64.1414529160174
"discount1.024",275,275,255.163403382969,164.060558288203,110.663773818476,76.5999393635521,61.842653140296
"discount1.025",275,275,235.43978577119,153.705274237701,105.105748188807,73.2693088567972,59.7178125182196
"discount1.026",275,275,217.505242914123,145.404234791222,100.380649274834,70.2584340930239,57.7475114778095
"discount1.027",275,275,203.568205128841,137.915458315055,95.8743852048086,67.5214882645411,55.9151357669096
"discount1.028",275,275,190.938359916476,130.799514769346,91.1597807430454,65.008352565777,54.206292772664
"discount1.029",275,258.351229755155,180.619242390591,124.653920909917,87.2087831474493,62.691941371098,52.6085831766417
"discount1.03",275,242.334050059059,170.868696199883,118.30245438994,83.8063414779294,60.5500763381313,51.111156735639
"discount1.031",275,227.762564905766,161.703053549391,112.884324875366,80.6064131249793,58.5636653517176,49.7045920044924
"discount1.032",275,218.326073198987,153.684974764916,107.850044926483,77.0558427698149,56.7163291079215,48.380591153925
"discount1.033",275,206.104038828464,145.446816489606,103.046134275928,74.0068254191377,54.9937330938983,47.1318514744336
"discount1.034",275,196.752427481883,137.885395217056,98.4414113290868,71.5966403258526,53.3834834699141,45.9519156457337
"discount1.035",275,188.368667631439,131.125567751546,94.7915049450882,69.3950208692332,51.8747650705211,44.8350531479689
"discount1.036",275,179.374992570752,125.607074942404,91.7414775933319,66.95169290509,50.4579974707757,43.7761608573645
"discount1.037",275,171.799768737602,120.263502808292,88.5783876317822,64.8686914193017,49.1248920142886,42.7706793929675
"discount1.038",275,166.282082280002,114.889166475114,85.3434624443006,62.8353703660575,47.8680368148964,41.8145184143868
"discount1.039",275,158.919216131097,110.537743067508,82.4032417772718,60.8564962687589,46.6808876828643,40.9040141460818
"discount1.04",275,151.907780629499,106.412686017496,79.6116275508207,58.9076059121963,45.5576277439357,40.0358489902959
"discount1.041",275,146.840758107686,102.134248685621,76.8857108410523,57.1390595963249,44.493070520999,39.2070298308211
"discount1.042",269.81525254374,142.176220147342,98.0537466078081,74.3326187869267,55.401823400686,43.4825777865687,38.4148440708308
"discount1.043",259.629526111468,136.765977212897,94.7499737533209,72.0097664741273,53.781835306694,42.5219840244001,37.6242560444983
"discount1.044",249.889177662772,131.577481668409,91.5784881542976,69.855591814795,52.2751056166696,41.6075616320771,36.787690277663
