"","GWPmin","GWP10","GWP25","GWPmed","GWP75","GWP90","GWPmax"
"discount1.005",2.80326921669124,3.61681342506445,4.61778174700459,6.17665626573446,9.51607733123787,10.9174525823095,16.5639564877066
"discount1.006",2.97616538710721,3.80513750785191,4.86938899413566,6.65207262044251,10.100619421696,11.6888661345023,17.8511616593109
"discount1.007",3.17862475026097,3.98494527834835,5.19936849038043,7.21064403231426,10.6781488039634,12.5014262929272,19.1968560233077
"discount1.008",3.41466976819875,4.24548766620683,5.46108267795121,7.80789162293383,11.1754122092229,13.7578031512554,20.5836247908446
"discount1.009",3.68832381529173,4.48287441176171,5.72274301533651,8.47502462450877,12.0158743910449,15.06856925399,21.9955428931073
"discount1.01",4.00345052590319,4.75241411786754,6.01429728278198,9.21991170351079,12.8991268349667,16.3830649712476,23.4189567621796
"discount1.011",4.28585277356659,5.07037797585763,6.34782301800726,9.88194493152213,13.7765696407363,17.7403788470954,24.8427911773231
"discount1.012",4.46826177505557,5.42951583645614,6.78797912057309,10.2917972380981,14.7966975356252,19.1334468931749,26.258493922659
"discount1.013",4.66568696736598,5.79826354781881,7.21518722351241,10.8288324598351,15.661965586936,20.5685851096222,27.6597565706356
"discount1.014",4.87839442351654,6.22038991031455,7.64001100412769,11.5210551914119,16.3981178275265,22.0169628271264,29.0421333037852
"discount1.015",5.10653318864901,6.68488307908738,8.18719304024992,12.3835021662376,17.1435204095352,23.3522482774615,30.4026448542377
"discount1.016",5.35014253542155,7.18438069703068,8.72227597155931,13.2598597358199,18.0316870929101,24.7391701345093,31.739418555318
"discount1.017",5.60916232808129,7.69684112029514,9.30874332859907,13.7959491577998,18.9775984535174,26.1470415374218,33.0513876091687
"discount1.018",5.88344504707907,8.2767124222688,9.90584454916608,14.3994356438219,19.8261310751966,27.4906622795663,34.338054064593
"discount1.019",6.17276821306761,8.87643399524716,10.527234504999,15.126005346284,20.6828817108805,28.7695132345135,35.5993100153939
"discount1.02",6.47684627859873,9.37304807795124,10.9842668308853,15.8119810059506,21.6874553724127,30.0933823596155,36.835307342562
"discount1.021",6.79534142569462,9.88381652707674,11.5261299062704,16.6174136395693,22.8293975667031,31.4157710721504,38.0463654761638
"discount1.022",7.12787303115392,10.5610719060583,12.2617451824566,17.5274221836504,24.0362246427204,32.7133398844621,39.2329076272527
"discount1.023",7.43984542049822,10.9364317087383,12.9553301138763,18.4818951382696,25.242915629026,33.9874647514092,40.3954177287303
"discount1.024",7.6575664767296,11.4785705272331,13.7577685763361,19.4536893766033,26.4654862757057,35.2378260922936,41.5344119416327
"discount1.025",7.88299568905313,11.7938690200741,14.6535450917237,20.4728473264064,27.550951183486,36.4701653023036,42.6504202660579
"discount1.026",8.11653887062859,12.1539029599179,15.5934454587524,21.3820190108772,28.5569703341012,37.669643884084,43.7439749237515
