study;id;gender;age;background;building_familiarity;SBSOD1;SBSOD2;SBSOD3;SBSOD4;SBSOD5;SBSOD6;SBSOD7;SBSOD8;SBSOD9;SBSOD10;SBSOD11;SBSOD12;SBSOD13;SBSOD14;SBSOD15;smartphone_usage;becoming_lost;apps;usage_navsys_freq;used_indoor_nav;familiar_qrcodes;preference;started_with
studyB;1;f;24;social;1;6;2;7;5;7;3;6;2;4;3;2;6;3;7;5;1;1;2;weekly;no;yes;app;app
studyB;2;m;27;economics;1;5;2;2;7;7;1;7;2;5;2;2;3;1;6;2;2;1;2;weekly;no;no;kiosk;kiosk
studyB;3;m;26;law;1;2;5;4;3;6;5;3;5;2;2;5;7;7;2;7;1;3;2;weekly;no;yes;app;app
studyB;4;m;20;natural;1;3;5;2;3;6;5;3;4;3;2;2;6;5;2;4;1;4;2;less than once a week;no;yes;kiosk;kiosk
studyB;5;m;21;economics;1;6;2;3;6;5;1;5;2;5;1;4;3;2;6;2;1;2;1;weekly;no;yes;app;app
studyB;6;m;24;economics;1;5;3;2;3;7;6;6;2;3;3;5;2;1;5;5;1;3;1;weekly;no;yes;kiosk;kiosk
studyB;7;m;22;natural;2;6;3;5;6;7;2;2;5;2;3;1;4;2;3;2;1;2;2;weekly;no;yes;kiosk;app
studyB;8;f;26;medicine;2;2;6;2;2;4;1;2;7;4;7;7;7;7;2;5;2;4;2;only in exception / emergency;no;yes;kiosk;kiosk
studyB;9;f;19;social;1;5;4;4;5;7;2;4;5;4;1;3;4;4;4;2;1;1;1;less than once a week;yes;yes;kiosk;app
studyB;10;f;19;medicine;1;7;1;7;5;7;2;5;3;7;3;1;1;3;5;1;1;2;3;weekly;no;yes;app;kiosk
studyB;11;m;22;social;1;4;2;2;6;3;1;4;6;2;1;3;3;5;6;2;1;2;1;less than once a week;yes;yes;app;app
studyB;12;f;28;economics;1;6;4;7;5;7;1;7;3;6;1;1;6;2;6;2;1;1;1;weekly;no;yes;app;kiosk
studyB;13;m;26;didactic;1;3;3;3;4;7;2;7;5;5;2;5;5;3;6;4;1;2;1;weekly;no;yes;app;app
studyB;14;m;26;didactic;1;3;2;1;3;5;5;6;6;2;6;4;4;5;3;5;1;4;1;less than once a week;no;yes;app;kiosk
