id,treatment,mental,physical,temporal,performance,effort,frustration,easeofuse,understanding,guidance,relicability,orientation,recommendation,applicability,interaction_time,navigation_time,successful,advantages_disadvantages,comments,observations,,,,
1,kiosk,18,1,4,4,17,15,1,2,2,3,3,2,2,21,88,yes,Wenig Orientierung Man k鰊nte eigenen Standort nicht richtig Nach 躡ung ging es,[BILD],,,,,
2,kiosk,13,15,15,17,18,12,4,5,3,4,3,5,5,154,168,no,Leicht zu benutzen  Schnell das Ziel zu erreichen    Negative  Die Person wird die Nummer des Zimmers vergessen,[BILD],schon Bem黨ungen, das System zu bedienen, sehr starke Orientierungslosigkeit, Deutsch nicht Muttersprache (gilt nat黵lich f黵 beide Systeme)!,
3,kiosk,11,2,5,20,3,3,5,4,4,5,4,4,4,42,91,yes,Positive: - relativ schnelles finden Der r鋟me  Negativ: Farbige pfeile w黵den helfen,[BILD],wollte L鰏ung abfotografieren, an Raumnummern orientiert beim Laufen,,,
4,kiosk,13,2,12,17,13,4,2,4,3,4,2,3,3,18,36,yes,Positiv Einfache Bedienung Mit Bildern,  hilfreich Negative Keine Unterst黷zung auf dem Weg Bei komplexen wegen nicht zielf黨rend,[BILD],,,,
5,kiosk,8,3,15,20,6,2,2,5,5,5,5,5,3,20,105,yes,Suche nach Mitarbeiternamen ist sehr praktisch Bilder sind ein cooles Feature  ABC Gruppierung etwas hinderlich, da nicht alle Buchstaben Sicht bar. Suche mit automatischer Erg鋘zung w鋜e besser.,[BILD],,,,
6,kiosk,4,1,8,20,3,5,4,5,4,5,5,5,5,37,126,yes,[BILD],[BILD],wollte L鰏ung fotografieren,,,,
7,kiosk,3,5,4,20,14,11,4,4,2,4,2,4,4,45,89,yes,Suche ist einfach, 黚ersichtlich, einfache Handhabung  Pfeile sind irritierend, schlecht zu erkennen wo man genau ist,[BILD],wollte L鰏ung fotografieren,
8,kiosk,15,1,1,18,15,6,3,5,3,4,4,3,3,40,70,yes,Detaillierte Wegbeschreibung,Man muss sich den Weg merken Vornamen der Profs integrieren,,,,,
9,kiosk,3,1,1,19,1,2,4,4,4,5,5,4,4,30,110,yes,Pro:Gute Sortierung, gut lesbar, Wechsel zwischen 2d und 3d Con: Schlechte Navigation zwischen den Buchstaben,[BILD],,,
10,kiosk,2,2,2,20,2,2,5,5,5,5,5,5,5,35,62,yes,Positiv: einfach zu bedienen, gro遝s Display Negativ: geb鋟deplan durch einheitlich graue Farbe etwas un黚ersichtlich (wobei es hier gut war, dass die wegbeschreibungspfeile durch die rote Farbe leicht zu erkennen waren),[BILD],"""z.T. irritierend, hat aber gut geklappt""",,
11,kiosk,13,6,12,19,13,13,4,3,1,2,5,4,3,102,133,yes,Klare Wegbeschreibung,  schnelles und einfaches finden der gesuchten person im computer +Erkl鋜t mit Text und mit Bild -Viel zu merken -nicht ganz klar wo man sich am Anfang befindet,Tafeln auf Dem Weg als gedankliche St黷ze w鋜en hilfreich,eher Schwierigkeiten bei Bedienung des Kiosk-Systems,,,
12,kiosk,4,2,9,19,2,10,5,5,5,5,4,5,5,66,68,yes,Gute bildliche Darstellung des Weges,[BILD],"""habe mich an den Toiletten orientiert, weil ich die auf dem Plan gesehen habe""",,,,
13,kiosk,8,1,5,13,11,12,5,4,4,5,3,4,4,33,101,yes,躡ersichtlich  Leicht verst鋘dlich,[BILD],wollte L鰏ung fotografieren,,,,
14,kiosk,7,2,15,17,4,2,3,4,2,4,3,3,3,20,50,yes,[BILD],[BILD],,,,,
15,kiosk,12,1,3,20,4,1,5,5,4,5,5,5,5,21,42,yes,Die angezeigte Karte war etwas un黚ersichtlich  Einzelne Navigationsschritte sollten untereinander angezeigt werden, nicht im Fliesstext, da etwas schwierig zu lesen/merken  Sehr gute Unterteilung in Namen von Mitarbeitern/R鋟men etc  Sehr intuitiv,-,"""System sollte mehr Sortier- und Filteroptionen haben""
",,
16,kiosk,14,3,12,13,11,10,3,4,3,4,4,3,3,34,30,yes,Touchscreen nicht gut zu bedienen, Schwierigkeiten beim Wechsel auf andr. Etage es mussten neue Orientierungspunkte gesucht werden,[BILD],wollte L鰏ung fotografieren,,,
